Date,Entry,anger,disgust,fear,joy,sadness,surprise,neutral,Negative,Neutral,Positive
2024-01-04,"""The day started like any other. Woke up, had my usual coffee, and went about my routine. Work was neither too stressful nor too exciting�just another regular day. Even the evening felt routine, with dinner, a little TV, and scrolling through social media before heading to bed.""",0.0174620404562492,0.0289722942118345,0.156272380401991,0.0699920824798036,0.4605070589947922,0.1906555410091686,0.0761386024461606,0.0438662161558967,0.5487386238111863,0.407395160032917
2024-02-04,"""Met an old friend unexpectedly at a cafe. We hadn�t talked in years, but it felt like no time had passed. We laughed about old times, shared updates about life, and left with a warmth that carried me through the rest of the day. It reminded me how little moments like these can be so uplifting.""",0.00776365709099,0.0214824546490853,0.0504716251676677,0.4283665624729166,0.1563920920349044,0.1456386174254006,0.1898849911590352,0.105981593078526,0.3247052233648418,0.5693131835566321
2024-03-04,"""Received a random package at my doorstep. Turns out, it was a book I had pre-ordered months ago and completely forgotten about. That small but pleasant surprise brought a smile to my face. I spent the evening flipping through its pages, already hooked by the first few chapters.""",0.0101565055056032,0.0399557516965697,0.0133733282464885,0.2889974287284799,0.2962197128535053,0.0090322795932574,0.3422649933760957,0.1126414956470552,0.3690225765044198,0.518335927848525
2024-04-04,"""Saw an old picture today, and it brought back memories of someone I don�t talk to anymore. It made me wonder how things could have been different. I carried that heaviness with me all day, replaying past conversations in my mind and feeling that bittersweet nostalgia settle in my chest.""",0.0091159862236751,0.1265965418642535,0.0543297756278608,0.0121312075166569,0.0263751193137545,0.3477859344341423,0.4236654350196567,0.2859717543802301,0.5786383426303588,0.135389902989411
2024-05-04,"""Had an amazing workout today�one of those days where everything just clicks. I felt strong, energized, and proud of myself for pushing through. There's something so satisfying about feeling progress, both physically and mentally. Ended the night with a good meal, feeling accomplished and happy.""",0.0036510007164155,0.0020902392221626,0.0041172420991897,0.9233636362890664,0.0114275798659627,0.0035949388220895,0.0517553629851133,0.0017335755820016,0.0181940745635683,0.98007234985443
2024-06-04,"""Woke up from a nightmare, the kind that lingers even after you realize it wasn�t real. My heart was still pounding, and it took a while to shake the uneasy feeling. Even the shadows in my room felt eerie. I distracted myself with a podcast until I calmed down enough to fall asleep again.""",0.0602730163287584,0.0789558631522782,0.7383017720731927,0.003395001941534,0.0560231184062829,0.0430660885631664,0.0199851395347872,0.3740662606224327,0.5249876199287389,0.1009461194488283
2024-07-04,"""Saw someone littering at the park. It irked me more than it should have. Just the casual disregard for the environment left a bad taste in my mouth. I picked up the trash myself, but it made me wonder�how hard is it to just do the right thing? It�s frustrating seeing such carelessness.""",0.2902965138912001,0.5536691483224313,0.0489768810897909,0.0038445496293934,0.0178008003737877,0.0702247394822042,0.0151873672111922,0.879361428297895,0.1102659795375754,0.0103725921645295
2024-08-04,"""Nothing eventful today. Just a regular cycle of work, eat, and sleep. It�s weird how some days just blur into the next without anything particularly exciting or upsetting happening. Maybe tomorrow will bring something different, but for now, today just existed in the background of my life.""",0.01995955263062,0.1615957782471301,0.1583713337429419,0.0061265816486475,0.5073205132675148,0.080403941750258,0.0662222987128873,0.2342297477260538,0.5988546766042067,0.1669155756697395
2024-09-04,"""Someone cut me off in traffic and had the audacity to honk at me. That irrational burst of anger stayed with me longer than I�d like to admit. I replayed the moment in my head, thinking of all the witty comebacks I could have said. It�s funny how small things can feel so big in the moment.""",0.4484778376365966,0.0232398893146391,0.0368519660423487,0.0606712074463431,0.2240846736374998,0.0078869725374506,0.1987874533851218,0.3700032099616231,0.2899902205447232,0.3400065694936537
2024-10-04,"""Tried a new dish today, and it was fantastic! There�s something about good food that instantly lifts the mood. I savored every bite, already thinking about when I could have it again. Cooking or ordering food isn�t just about eating; it�s about the experience of discovering something new.""",0.0148597054084044,0.1423694595014596,0.0376734809371021,0.58358193215328,0.1876541226174797,0.0097990409719328,0.0240622584103412,0.0051585070964891,0.1513648682155091,0.8434766246880017
2024-11-04,"""Got a message from a distant cousin out of nowhere. We haven�t spoken in years, and it was nice catching up. Life has taken us in such different directions, yet we still found common ground. It�s strange how time passes, but some connections never really fade completely.""",0.0068521364446436,0.0168260504658013,0.0233550844799924,0.2319355374513166,0.3033792891613356,0.0126390298559956,0.4050128721409146,0.0873779782446716,0.4248614327287447,0.4877605890265836
2024-12-04,"""Felt a little lonely today. Not sure why. Maybe it�s just one of those days where everything feels a little heavier. I tried distracting myself with work and entertainment, but the feeling lingered in the background. Some days are just like that, and I guess that�s okay.""",0.0245697419619135,0.1267777720717145,0.0177268626712675,0.0100128235706204,0.2338233121267499,0.4116066530583582,0.1754828345393756,0.4347305554722601,0.4314334313380989,0.1338360131896409
